brand, product_name, shipping
GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card| GV-N208SWF3OC-8GD,$719.99 ,Free Shipping
MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,$339.99 (10 Offers),Free Shipping
ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,$459.99 ,$3.99 Shipping
GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD Video Card,$239.99 ,Free Shipping
MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card,$249.99 (11 Offers),Free Shipping
EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate,$329.99 (15 Offers),Free Shipping
SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,$399.99 ,Free Shipping
ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition Graphics Card (DUAL-GTX1660S-O6G-EVO),$239.99 (4 Offers),$3.99 Shipping
SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 11296-01-20G Video Card,$289.99 (11 Offers),Free Shipping
XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,$299.99 (5 Offers),Free Shipping
ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card,$439.99 ,$3.99 Shipping
EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR,$379.99 (3 Offers),Free Shipping
